"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"exercise","part1_lifestyle","Lifestyle","radio","Level of regular physical exercise","0, Regular (≥3×/week) | 1, Some (1–2×/week) | 2, None","","","","","","","y","","","","",""
"smoking","part1_lifestyle","","radio","Smoking history","0, Never | 1, Former | 2, Current","","","","","","","y","","","","",""
"chemical_exposure","part1_lifestyle","","radio","Occupational or environmental chemical exposure","yes, Yes | no, No","","","","","","","y","","","","",""
"diet_pattern","part1_additional","Additional Information","radio","Dietary pattern","western, Western | mediterranean, Mediterranean | indian, Indian | dash, DASH | plant_based, Plant-based | pescatarian, Pescatarian | low_carb_keto, Low-carb / Keto | other, Other","","","","","","","y","","","","",""
"hypertension","part1_additional","","radio","Hypertension","0, No | 1, Yes","","","","","","","y","","","","",""
"hyperlipidemia","part1_additional","","radio","Hyperlipidemia","0, No | 1, Yes","","","","","","","y","","","","",""
"cad","part1_additional","","radio","Coronary artery disease","0, No | 1, Yes","","","","","","","y","","","","",""
"diabetes","part1_additional","","radio","Diabetes","0, No | 1, Yes","","","","","","","y","","","","",""
"comorbidity_score","part1_additional","","radio","Number of comorbidities (HTN / HLD / CAD / DM)","0, None | 1, One | 2, Two or more","Auto-scored from hypertension, hyperlipidemia, cad, diabetes","","","","","","","","","","",""
"ipss_1","part1_ipss","IPSS — Urinary Symptoms","radio","Over the past month, how often have you had the sensation of not fully emptying your bladder after urinating?","0, Not at all | 1, Less than 1 in 5 times | 2, Less than half the time | 3, About half the time | 4, More than half the time | 5, Almost always","","","","","","","y","","1","ipss_matrix","",""
"ipss_2","part1_ipss","","radio","Over the past month, how often have you had to urinate again less than 2 hours after you finished urinating?","0, Not at all | 1, Less than 1 in 5 times | 2, Less than half the time | 3, About half the time | 4, More than half the time | 5, Almost always","","","","","","","y","","2","ipss_matrix","",""
"ipss_3","part1_ipss","","radio","Over the past month, how often have you found you stopped and started again several times when you urinated?","0, Not at all | 1, Less than 1 in 5 times | 2, Less than half the time | 3, About half the time | 4, More than half the time | 5, Almost always","","","","","","","y","","3","ipss_matrix","",""
"ipss_4","part1_ipss","","radio","Over the past month, how often have you found it difficult to postpone urination?","0, Not at all | 1, Less than 1 in 5 times | 2, Less than half the time | 3, About half the time | 4, More than half the time | 5, Almost always","","","","","","","y","","4","ipss_matrix","",""
"ipss_5","part1_ipss","","radio","Over the past month, how often have you had a weak urinary stream?","0, Not at all | 1, Less than 1 in 5 times | 2, Less than half the time | 3, About half the time | 4, More than half the time | 5, Almost always","","","","","","","y","","5","ipss_matrix","",""
"ipss_6","part1_ipss","","radio","Over the past month, how often have you had to push or strain to begin urination?","0, Not at all | 1, Less than 1 in 5 times | 2, Less than half the time | 3, About half the time | 4, More than half the time | 5, Almost always","","","","","","","y","","6","ipss_matrix","",""
"ipss_7","part1_ipss","","radio","Over the past month, how many times did you most typically get up to urinate from the time you went to bed until the time you got up in the morning?","0, None | 1, 1 time | 2, 2 times | 3, 3 times | 4, 4 times | 5, 5 or more times","Nocturia item","","","","","","y","","7","","",""
"ipss_total","part1_ipss","","calc","IPSS Total Score","sum([ipss_1],[ipss_2],[ipss_3],[ipss_4],[ipss_5],[ipss_6],[ipss_7])","0–35; Mild 0–7, Moderate 8–19, Severe 20–35","","","","","","","","","","",""
"shim_1","part1_shim","SHIM — Erectile Function","radio","How do you rate your confidence that you could get and keep an erection?","1, Very low | 2, Low | 3, Moderate | 4, High | 5, Very high","","","","","","","y","","1","shim_matrix","",""
"shim_2","part1_shim","","radio","When you had erections with sexual stimulation, how often were your erections hard enough for penetration?","0, No sexual activity | 1, Almost never or never | 2, A few times (much less than half the time) | 3, Sometimes (about half the time) | 4, Most times (much more than half the time) | 5, Almost always or always","","","","","","","y","","2","shim_matrix","",""
"shim_3","part1_shim","","radio","During sexual intercourse, how often were you able to maintain your erection after you had penetrated (entered) your partner?","0, Did not attempt intercourse | 1, Almost never or never | 2, A few times (much less than half the time) | 3, Sometimes (about half the time) | 4, Most times (much more than half the time) | 5, Almost always or always","","","","","","","y","","3","shim_matrix","",""
"shim_4","part1_shim","","radio","During sexual intercourse, how difficult was it to maintain your erection to completion of intercourse?","0, Did not attempt intercourse | 1, Extremely difficult | 2, Very difficult | 3, Difficult | 4, Slightly difficult | 5, Not difficult","","","","","","","y","","4","shim_matrix","",""
"shim_5","part1_shim","","radio","When you attempted sexual intercourse, how often was it satisfactory for you?","0, Did not attempt intercourse | 1, Almost never or never | 2, A few times (much less than half the time) | 3, Sometimes (about half the time) | 4, Most times (much more than half the time) | 5, Almost always or always","","","","","","","y","","5","shim_matrix","",""
"shim_total","part1_shim","","calc","SHIM Total Score","sum([shim_1],[shim_2],[shim_3],[shim_4],[shim_5])","0–25; Very severe ED 0–7, Severe 8–11, Moderate 12–16, Mild 17–21, No ED 22–25","","","","","","","","","","",""
"part1_score","part1_results","Part 1 Results","text","ePSA Part 1 Risk Score","","0–100 composite risk score","integer","0","100","","","","","","","",""
"part1_risk","part1_results","","radio","Part 1 Risk Category","LOWER, Lower Risk | MODERATE, Moderate Risk | HIGHER, Higher Risk | PSA_RECOMMENDED, PSA Recommended | PSA_NOT_RECOMMENDED, PSA Not Recommended","","","","","","","","","","","",""
"part1_score_range","part1_results","","text","Part 1 Score Confidence Range","","e.g. 45–55","","","","","","","","","","",""
"recommend_psa","part1_results","","radio","PSA Testing Recommended (Part 1)","0, No | 1, Yes","","","","","","","","","","","",""
"part1_model_ver","part1_results","","text","Part 1 Model Version","","","","","","","","","","","","",""
"psa","part2_psa_mri","Part 2 — PSA & MRI","text","PSA Value (ng/mL)","","","number","0.1","100","","[pathway_mode] <> 'pre_psa'","","","","","",""
"on_hormonal_therapy","part2_psa_mri","","radio","Currently on 5-alpha reductase inhibitor (5-ARI)?","0, No | 1, Yes","Finasteride or dutasteride","","","","","[pathway_mode] <> 'pre_psa'","","","","","",""
"hormonal_therapy_type","part2_psa_mri","","radio","5-ARI medication type","finasteride, Finasteride | dutasteride, Dutasteride | other, Other","","","","","","[on_hormonal_therapy] = '1'","","","","","",""
"psa_adjusted","part2_psa_mri","","calc","PSA Adjusted for 5-ARI","if([on_hormonal_therapy]=1, [psa]*2, [psa])","PSA doubled if on 5-ARI (finasteride/dutasteride)","","","","","","","","","","",""
"psa_adjusted_flag","part2_psa_mri","","radio","PSA was adjusted for 5-ARI","0, No | 1, Yes","","","","","","","","","","","",""
"pirads","part2_psa_mri","","radio","PI-RADS Score (mpMRI)","1, PI-RADS 1 — Very low | 2, PI-RADS 2 — Low | 3, PI-RADS 3 — Intermediate | 4, PI-RADS 4 — High | 5, PI-RADS 5 — Very high","","","","","","[pathway_mode] = 'post_mri'","","","","","",""
"prostate_volume","part2_psa_mri","","text","Prostate Volume (mL)","","Optional; used to calculate PSA density","number","5","200","","[pathway_mode] = 'post_mri'","","","","","",""
"psad_value","part2_psa_mri","","calc","PSA Density (ng/mL/mL)","round([psa_adjusted]/[prostate_volume], 3)","Calculated only when prostate volume is available","","","","","[prostate_volume] <> ''","","","","","",""
"psad_flag","part2_psa_mri","","radio","PSA Density elevated (>0.177)","0, No | 1, Yes","","","","","","[prostate_volume] <> ''","","","","","",""
"part2_total_pts","part2_results","Part 2 Results","text","Part 2 Total Risk Points","","Sum of baseline + PSA + PI-RADS + PSA density points","integer","0","","","","","","","","",""
"part2_risk_cat","part2_results","","radio","Part 2 Risk Category","low_risk, Low Risk (≤13 pts) | intermediate_low, Intermediate-Low Risk (14–27 pts) | intermediate_high, Intermediate-High Risk (28–55 pts) | high_risk, High Risk (≥56 pts)","","","","","","","","","","","",""
"part2_risk_class","part2_results","","radio","Part 2 Risk Class (CSS)","low_risk, Low Risk | moderate_risk, Moderate Risk | high_risk, High Risk | very_high_risk, Very High Risk","Internal classification used for display","","","","","","","","","","",""
"part2_risk_pct","part2_results","","text","Part 2 Risk — PSA Equivalent Range","","e.g. 3.0–9.9 ng/mL","","","","","","","","","","",""
"part2_psa_pts","part2_results","","radio","PSA Points Contribution","0, 0 pts | 10, 10 pts | 25, 25 pts | 45, 45 pts","","","","","","","","","","","",""
"part2_pirads_pts","part2_results","","radio","PI-RADS Points Contribution","0, 0 pts | 15, 15 pts | 30, 30 pts | 45, 45 pts","","","","","","","","","","","",""
"part2_psad_pts","part2_results","","radio","PSA Density Points Contribution","0, 0 pts | 10, 10 pts | 20, 20 pts","","","","","","","","","","","",""
"part2_model_ver","part2_results","","text","Part 2 Model Version","","","","","","","","","","","","",""
